tickers,shortNames,longNames
HCA,"HCA Healthcare, Inc.","HCA Healthcare, Inc."
PPG,"PPG Industries, Inc.","PPG Industries, Inc."
DTE,DTE Energy Company,DTE Energy Company
HST,Host Hotels,"Host Hotels & Resorts, Inc."
ADI,"Analog Devices, Inc.","Analog Devices, Inc."
PNW,Pinnacle West Capital Corporati,Pinnacle West Capital Corporation
V,Visa Inc.,Visa Inc.
NFLX,"Netflix, Inc.","Netflix, Inc."
MPC,Marathon Petroleum Corporation,Marathon Petroleum Corporation
EVRG,"Evergy, Inc.","Evergy, Inc."
AME,"AMETEK, Inc.","AMETEK, Inc."
DIS,Walt Disney Company (The),The Walt Disney Company
VMC,Vulcan Materials Company (Holdi,Vulcan Materials Company
MRK,"Merck & Company, Inc.","Merck & Co., Inc."
DUK,Duke Energy Corporation (Holdin,Duke Energy Corporation
NDSN,Nordson Corporation,Nordson Corporation
AAP,Advance Auto Parts Inc.,"Advance Auto Parts, Inc."
CMCSA,Comcast Corporation,Comcast Corporation
INCY,Incyte Corporation,Incyte Corporation
SPG,"Simon Property Group, Inc.","Simon Property Group, Inc."
CDW,CDW Corporation,CDW Corporation
EPAM,"EPAM Systems, Inc.","EPAM Systems, Inc."
